Participant_Treatment,Trial_Name,Connection,Reaction_Time_ms,Total_Time_ms,Wrong_Guesses_Before_Correct_One
Vinh_Con1,Experimental_Ascending_1,B-2,1785.0259999977425,51535.71010008454,0
Vinh_Con1,Experimental_Ascending_1,2-pentagon,4729.620099999011,56416.05750005692,0
Vinh_Con1,Experimental_Ascending_1,pentagon-C,5218.748400104232,61762.54240004346,1
Vinh_Con1,Experimental_Ascending_1,C-3,7344.936800072901,69192.86980002653,0
Vinh_Con1,Experimental_Ascending_1,3-hexagon,10677.484600106254,79997.32980004046,0
Vinh_Con1,Experimental_Ascending_1,hexagon-D,4835.815700003877,84986.94590001833,0
Vinh_Con1,Experimental_Ascending_1,D-4,30431.467600050382,115550.42700003833,2
Vinh_Con1,Experimental_Ascending_1,4-heptagon,18000.09129999671,133629.41100005992,0
Vinh_Con1,Experimental_Ascending_1,heptagon-E,5129.516100045294,138926.96730000898,0
Vinh_Con1,Experimental_Ascending_1,E-5,7341.163499979302,146404.7851000214,0
Vinh_Con1,Experimental_Ascending_1,5-octagon,6289.733899990097,152804.18960005045,0
Vinh_Con1,Experimental_Ascending_1,octagon-F,2693.480100017041,155609.1931000119,0
Vinh_Con1,Experimental_Ascending_1,F-6,566.100399941206,156251.87070004176,0
Vinh_Con1,Experimental_Descending_1,Start-octagon,12253.662400064059,12253.674700041302,0
Vinh_Con1,Experimental_Descending_1,octagon-F,5604.026400018483,18266.53040002566,0
Vinh_Con1,Experimental_Descending_1,F-6,3576.5662000048906,22016.320000053383,0
Vinh_Con1,Experimental_Descending_1,6-heptagon,4604.238100000657,26691.32140011061,0
Vinh_Con1,Experimental_Descending_1,heptagon-E,4880.740400054492,31907.107300008647,0
Vinh_Con1,Experimental_Descending_1,E-5,2601.785899954848,34601.34170006495,0
Vinh_Con1,Experimental_Descending_1,5-hexagon,5994.797499966808,40690.41860010475,0
Vinh_Con1,Experimental_Descending_1,hexagon-D,5823.016499984078,46659.31870008353,0
Vinh_Con1,Experimental_Descending_1,D-4,3703.184899990447,50445.596100063995,0
Vinh_Con1,Experimental_Descending_1,4-pentagon,4200.790099916048,54738.23420004919,0
Vinh_Con1,Experimental_Descending_1,pentagon-C,5315.607199911028,60206.99810003862,0
Vinh_Con1,Experimental_Descending_1,C-3,4132.571300026029,64531.422000029124,0
Vinh_Con1,Experimental_Descending_1,3-square,5202.601999975741,69850.88600008748,0
Vinh_Con1,Experimental_Descending_1,square-B,3581.7800000077114,73536.06030007359,0
Vinh_Con1,Experimental_Descending_1,B-2,1909.0688999276608,75524.21030006371,0
Vinh_Con1,Experimental_Descending_1,2-triangle,3218.6508000595495,78825.14900004026,0
Vinh_Con1,Experimental_Descending_1,triangle-A,966.5156000992283,79864.14830002468,0
Vinh_Con1,Experimental_Descending_1,A-1,616.4027999620885,80570.9262000164,0
Vinh_Con1,Experimental_Ascending_2,Start-A,23416.335799964145,23416.35519999545,0
Vinh_Con1,Experimental_Ascending_2,A-1,15330.596100073308,38867.851199931465,2
Vinh_Con1,Experimental_Ascending_2,1-triangle,5526.452400023118,44494.47379994672,0
Vinh_Con1,Experimental_Ascending_2,triangle-B,5300.66359997727,49864.06890000217,0
Vinh_Con1,Experimental_Ascending_2,B-2,2840.916099958122,52842.7067999728,0
Vinh_Con1,Experimental_Ascending_2,2-square,3867.219900013879,56817.07779993303,0
Vinh_Con1,Experimental_Ascending_2,square-C,5117.114000022411,62053.09870000929,0
Vinh_Con1,Experimental_Ascending_2,C-3,2064.057500101626,64273.70719995815,0
Vinh_Con1,Experimental_Ascending_2,3-pentagon,6808.2170999841765,71201.70259999577,0
Vinh_Con1,Experimental_Ascending_2,pentagon-D,6386.312099988572,77764.73249995615,0
Vinh_Con1,Experimental_Ascending_2,D-4,1923.9585999166593,79814.98989998363,0
Vinh_Con1,Experimental_Ascending_2,4-hexagon,8999.458700069226,88932.64489993453,0
Vinh_Con1,Experimental_Ascending_2,hexagon-E,16664.547199965455,105734.37770002056,0
Vinh_Con1,Experimental_Ascending_2,E-5,2847.457700059749,108729.49219995644,0
Vinh_Con1,Experimental_Ascending_2,5-heptagon,7506.337900063954,116360.32680002972,1
Vinh_Con1,Experimental_Ascending_2,heptagon-F,42971.97210008744,159502.83449993003,0
Vinh_Con1,Experimental_Ascending_2,F-6,1920.5985999433324,161539.01499998756,0
Vinh_Con1,Experimental_Ascending_2,6-octagon,3127.564699971117,164768.0836999789,0
Vinh_Con1,Experimental_Descending_2,Start-6,4539.24250009004,4539.2535999417305,0
Vinh_Con1,Experimental_Descending_2,6-octagon,3015.1681000133976,7719.554899958894,0
Vinh_Con1,Experimental_Descending_2,octagon-F,4665.741799981333,12567.078799940646,0
Vinh_Con1,Experimental_Descending_2,F-5,4720.355900004506,17404.9054000061,0
Vinh_Con1,Experimental_Descending_2,5-heptagon,13360.787700046785,30896.061899955384,0
Vinh_Con1,Experimental_Descending_2,heptagon-E,12595.814600004815,43927.178899990395,0
Vinh_Con1,Experimental_Descending_2,E-4,4701.806399971247,48767.77969999239,0
Vinh_Con1,Experimental_Descending_2,4-hexagon,3525.7216000463814,52528.24549993966,0
Vinh_Con1,Experimental_Descending_2,hexagon-D,6490.605800063349,59197.58039992303,0
Vinh_Con1,Experimental_Descending_2,D-3,10539.976399973966,69819.27239999641,0
Vinh_Con1,Experimental_Descending_2,3-pentagon,4577.222099993378,74463.93949992489,0
Vinh_Con1,Experimental_Descending_2,pentagon-C,4381.68140000198,78994.60229999386,0
Vinh_Con1,Experimental_Descending_2,C-2,3809.301699977368,82984.0528999921,0
Vinh_Con1,Experimental_Descending_2,2-square,2411.0753999557346,85489.71500003245,0
Vinh_Con1,Experimental_Descending_2,square-B,2237.687399960123,87843.11210003216,0
Vinh_Con1,Experimental_Descending_2,B-1,2517.92040001601,90478.84130000602,0
Vinh_Con1,Experimental_Descending_2,1-triangle,1678.7008999381214,92286.31049999967,1
Vinh_Con1,Experimental_Descending_2,triangle-A,2849.3089999537915,95252.15900002513,0
Vinh_Con1,Experimental_Ascending_3,Start-1,4335.5961999623105,4335.606699925847,0
Vinh_Con1,Experimental_Ascending_3,1-triangle,2606.2268000096083,7041.483699926175,0
Vinh_Con1,Experimental_Ascending_3,triangle-A,8828.058600076474,15985.485999961384,0
Vinh_Con1,Experimental_Ascending_3,A-2,4042.3628999851644,20127.96419998631,0
Vinh_Con1,Experimental_Ascending_3,2-square,3703.205900033936,23956.280599930324,0
Vinh_Con1,Experimental_Ascending_3,square-B,4046.183199970983,28152.687199995853,0
Vinh_Con1,Experimental_Ascending_3,B-3,2294.558700057678,30554.34689996764,0
Vinh_Con1,Experimental_Ascending_3,3-pentagon,3442.713199998252,34182.31109995395,0
Vinh_Con1,Experimental_Ascending_3,pentagon-C,3963.0722000729293,38261.29149994813,0
Vinh_Con1,Experimental_Ascending_3,C-4,8281.561100040562,46642.30870001484,0
Vinh_Con1,Experimental_Ascending_3,4-hexagon,3702.841200050898,50446.791899972595,0
Vinh_Con1,Experimental_Ascending_3,hexagon-D,3863.5892999591306,55797.040799981914,0
Vinh_Con1,Experimental_Ascending_3,D-5,4234.212000039406,60384.17530001607,0
Vinh_Con1,Experimental_Ascending_3,5-heptagon,2246.923999977298,62757.04739999492,0
Vinh_Con1,Experimental_Ascending_3,heptagon-E,4299.885299988091,67137.80969998334,0
Vinh_Con1,Experimental_Ascending_3,E-6,2263.6522999964654,69480.7884999318,0
Vinh_Con1,Experimental_Ascending_3,6-octagon,1266.289500053972,70850.94269993715,0
Vinh_Con1,Experimental_Ascending_3,octagon-F,991.4223001105711,71901.09349996783,0
Vinh_Con1,Experimental_Descending_3,Start-F,6104.710299987346,6104.720799950883,0
Vinh_Con1,Experimental_Descending_3,F-6,2930.851500015706,9148.446299950592,0
Vinh_Con1,Experimental_Descending_3,6-octagon,10562.581800040789,19858.973699971102,0
Vinh_Con1,Experimental_Descending_3,octagon-E,5696.761100087315,25669.095399905927,0
Vinh_Con1,Experimental_Descending_3,E-5,2845.8890001056716,28681.80349993054,0
Vinh_Con1,Experimental_Descending_3,5-heptagon,8708.41549988836,37546.9274999341,0
Vinh_Con1,Experimental_Descending_3,heptagon-D,4775.896199978888,42477.52409998793,0
Vinh_Con1,Experimental_Descending_3,D-4,1659.5771999564022,44287.8068999853,0
Vinh_Con1,Experimental_Descending_3,4-hexagon,3430.349599919282,47819.878899957985,0
Vinh_Con1,Experimental_Descending_3,hexagon-C,4812.265099957585,52748.020999948494,0
Vinh_Con1,Experimental_Descending_3,C-3,3480.5202999850735,56363.744399975985,0
Vinh_Con1,Experimental_Descending_3,3-pentagon,2827.6057000039145,59298.15689998213,0
Vinh_Con1,Experimental_Descending_3,pentagon-B,4812.310000066645,64214.841199922375,0
Vinh_Con1,Experimental_Descending_3,B-2,2052.4826999753714,66338.56619999278,0
Vinh_Con1,Experimental_Descending_3,2-square,3202.711799996905,69661.08109999914,0
Vinh_Con1,Experimental_Descending_3,square-A,7937.217200058512,77694.47119999677,0
Vinh_Con1,Experimental_Descending_3,A-1,3654.128900030628,81512.27690000087,0
Vinh_Con1,Experimental_Descending_3,1-triangle,1209.54240008723,82812.3674999224,0
